new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used
1,gestão de pessoas,1,Gestão de Pessoas,1.0,matched,fuzzy_match
2,People Management,—,—,0.0,no_match,insufficient_confidence
3,SQL,32,SQL,1.0,matched,fuzzy_match
4,sql avançado,58,PostgreSQL,0.88,matched,ai_rerank
5,machine learning,40,Machine Learning,1.0,matched,fuzzy_match
6,comunicação assertiva,2,Comunicação Assertiva,1.0,matched,fuzzy_match
7,python,31,Python,1.0,matched,fuzzy_match
8,PYTHON,31,Python,1.0,matched,fuzzy_match
9,análise de dados,39,Análise de Dados,1.0,matched,fuzzy_match
10,resolução de conflitos,3,Resolução de Conflitos,1.0,matched,fuzzy_match
11,power bi,76,Power BI,1.0,matched,fuzzy_match
12,PowerBI,76,Power BI,0.68,matched,ai_rerank
13,espiritualidade,—,—,0.0,no_match,insufficient_confidence
14,excel avançado,78,Excel Avançado,1.0,matched,fuzzy_match
15,scrum,19,Metodologias Ágeis,0.55,matched,ai_rerank
16,Metodologias Ágeis,19,Metodologias Ágeis,1.0,matched,fuzzy_match
17,storytelling com dados,21,Storytelling com Dados,1.0,matched,fuzzy_match
18,pensamento crítico,6,Pensamento Crítico,1.0,matched,fuzzy_match
19,Critical Thinking,—,—,0.0,no_match,insufficient_confidence
20,versionamento de código,72,Versionamento de Código,1.0,matched,fuzzy_match
21,Git,72,Versionamento de Código,0.82,matched,ai_rerank
22,cloud computing,—,—,0.02,no_match,insufficient_confidence
23,AWS,66,AWS,1.0,matched,fuzzy_match
24,engenharia de dados,51,Engenharia de Dados,1.0,matched,fuzzy_match
25,ETL,52,ETL e ELT,0.99,matched,ai_rerank
26,visão de produto,14,Visão de Produto,1.0,matched,fuzzy_match
27,Product Sense,—,—,0.0,no_match,insufficient_confidence
28,Alinhamento com o universo,—,—,0.0,no_match,insufficient_confidence
29,inteligência emocional,4,Inteligência Emocional,1.0,matched,fuzzy_match
30,negociação,5,Negociação,1.0,matched,fuzzy_match
31,data governance,—,—,0.0,no_match,insufficient_confidence
32,feature extraction,—,—,0.0,no_match,insufficient_confidence
33,auto-organização,—,—,0.16,no_match,insufficient_confidence
34,excel básico,—,—,0.07,no_match,insufficient_confidence
35,SQL,32,SQL,1.0,matched,fuzzy_match
36,trabalho colaborativo,13,Colaboração,0.99,matched,ai_rerank
37,emotional regulation,—,—,0.0,no_match,insufficient_confidence
38,risk management,—,—,0.0,no_match,insufficient_confidence
39,cash flow analysis,—,—,0.0,no_match,insufficient_confidence
40,imagens docker,—,—,0.11,no_match,insufficient_confidence
41,micro services,—,—,0.05,no_match,insufficient_confidence
42,orientação a dados,15,Orientação a Dados,1.0,matched,fuzzy_match
43,modelos de embedding,44,Embeddings e Busca Vetorial,1.0,matched,ai_rerank
44,statistical experimentation,—,—,0.01,no_match,insufficient_confidence
45,gestão de capital humano,—,—,0.09,no_match,insufficient_confidence
46,empathy mapping,—,—,0.0,no_match,insufficient_confidence
47,infrastructure automation,—,—,0.06,no_match,insufficient_confidence
48,versatilidade,—,—,0.04,no_match,insufficient_confidence
49,supporting growth,—,—,0.0,no_match,insufficient_confidence
50,BDD,—,—,0.0,no_match,insufficient_confidence
51,redação profissional,23,Escrita Profissional,0.55,matched,ai_rerank
52,DCF,—,—,0.0,no_match,insufficient_confidence
53,git,72,Versionamento de Código,0.82,matched,ai_rerank
54,negotiation tactics,—,—,0.0,no_match,insufficient_confidence
55,organização pessoal,96,Desenvolvimento Organizacional,0.73,matched,ai_rerank
56,python avançado,—,—,0.28,no_match,insufficient_confidence
57,data schema,—,—,0.0,no_match,insufficient_confidence
58,gerenciamento de projetos,18,Gestão de Projetos,1.0,matched,ai_rerank
59,multivariate testing,—,—,0.0,no_match,insufficient_confidence
60,independent execution,—,—,0.0,no_match,insufficient_confidence
61,vector databases,—,—,0.0,no_match,insufficient_confidence
62,people manager,—,—,0.0,no_match,insufficient_confidence
63,personal organization,—,—,0.0,no_match,insufficient_confidence
64,desenvolvimento de APIs,61,Desenvolvimento de APIs,1.0,matched,fuzzy_match
65,power bi,76,Power BI,1.0,matched,fuzzy_match
66,dealing with change,—,—,0.0,no_match,insufficient_confidence
67,hive,—,—,0.0,no_match,insufficient_confidence
68,continuous integration,—,—,0.0,no_match,insufficient_confidence
69,mentalidade de dono,30,Empreendedorismo,1.0,matched,ai_rerank
70,version control,—,—,0.0,no_match,insufficient_confidence
71,spark SQL,—,—,0.47,no_match,insufficient_confidence
72,balance sheet analysis,—,—,0.0,no_match,insufficient_confidence
73,object detection,—,—,0.0,no_match,insufficient_confidence
74,employee development,—,—,0.0,no_match,insufficient_confidence
75,managing group dynamics,—,—,0.0,no_match,insufficient_confidence
76,OLAP,—,—,0.0,no_match,insufficient_confidence
77,js,—,—,0.45,no_match,insufficient_confidence
78,tech lead,—,—,0.0,no_match,insufficient_confidence
79,orquestração de workflows,53,Orquestração de Pipelines,1.0,matched,ai_rerank
80,negociação comercial,5,Negociação,0.92,matched,ai_rerank
81,visualização de dados,33,R,1.0,matched,ai_rerank
82,promover cultura,100,Cultura Organizacional,1.0,matched,ai_rerank
83,gerenciamento de times,—,—,0.0,no_match,insufficient_confidence
84,LGPD compliance,—,—,0.11,no_match,insufficient_confidence
85,aprendizado não supervisionado,40,Machine Learning,1.0,matched,ai_rerank
86,fluxo de caixa descontado,—,—,0.0,no_match,insufficient_confidence
87,langchain,83,LangChain,1.0,matched,fuzzy_match
88,priorização,—,—,0.33,no_match,insufficient_confidence
89,validação de modelos,46,Avaliação de Modelos,1.0,matched,fuzzy_match
90,team conflict resolution,—,—,0.0,no_match,insufficient_confidence
91,APM,—,—,0.0,no_match,insufficient_confidence
92,mudança organizacional,28,Gestão de Mudanças,1.0,matched,ai_rerank
93,integridade de dados,51,Engenharia de Dados,0.93,matched,ai_rerank
94,pipeline de ML,—,—,0.08,no_match,insufficient_confidence
95,busca vetorial,44,Embeddings e Busca Vetorial,1.0,matched,ai_rerank
96,image processing,—,—,0.0,no_match,insufficient_confidence
97,pensar como empreendedor,30,Empreendedorismo,0.56,matched,ai_rerank
98,people leadership,—,—,0.0,no_match,insufficient_confidence
99,automação de workflows,—,—,0.0,no_match,insufficient_confidence
100,model monitoring,—,—,0.01,no_match,insufficient_confidence
101,real-time processing,—,—,0.0,no_match,insufficient_confidence
102,transformers architecture,—,—,0.0,no_match,insufficient_confidence
103,deep learning,41,Deep Learning,1.0,matched,fuzzy_match
104,transformar dados em histórias,39,Análise de Dados,0.97,matched,ai_rerank
105,apache spark,81,Spark,1.0,matched,ai_rerank
106,estratégia de branches,—,—,0.0,no_match,insufficient_confidence
107,SOLID principles,—,—,0.0,no_match,insufficient_confidence
108,gestão emocional,4,Inteligência Emocional,0.64,matched,ai_rerank
109,named entity recognition,—,—,0.0,no_match,insufficient_confidence
110,análise de dados avançada,39,Análise de Dados,0.99,matched,ai_rerank
111,test-driven development,—,—,0.0,no_match,insufficient_confidence
112,seleção de candidatos,—,—,0.19,no_match,insufficient_confidence
113,sourcing de talentos,—,—,0.06,no_match,insufficient_confidence
114,hdfs,—,—,0.0,no_match,insufficient_confidence
115,busca semântica,44,Embeddings e Busca Vetorial,0.98,matched,ai_rerank
116,google cloud services,67,Google Cloud Platform,0.99,matched,ai_rerank
117,container,63,Docker,0.94,matched,ai_rerank
118,retrieval augmented generation,—,—,0.0,no_match,insufficient_confidence
