new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used,top1,score_bi_encoder_top1,top2,score_bi_encoder_top2,top3,score_bi_encoder_top3,top4,score_bi_encoder_top4,top5,score_bi_encoder_top5
1,gestão de pessoas,1,Gestão de Pessoas,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
2,People Management,1,Gestão de Pessoas,1.0,matched,ai_rerank,Gestão de Pessoas,0.8336,Gestão de Mudanças,0.8297,Resolução de Conflitos,0.8207,Inteligência Emocional,0.8161,Gestão do Tempo,0.8156
3,SQL,32,SQL,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
4,sql avançado,58,PostgreSQL,0.82,matched,ai_rerank,Excel Avançado,0.8599,PostgreSQL,0.8534,Spark,0.8525,Scala,0.8437,SQL,0.8381
5,machine learning,40,Machine Learning,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
6,comunicação assertiva,2,Comunicação Assertiva,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
7,python,31,Python,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
8,PYTHON,31,Python,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
9,análise de dados,39,Análise de Dados,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
10,resolução de conflitos,3,Resolução de Conflitos,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
11,power bi,76,Power BI,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
12,PowerBI,76,Power BI,1.0,matched,ai_rerank,Power BI,0.8568,Excel Avançado,0.8028,FastAPI,0.7916,Data Warehouse,0.7909,Looker,0.7899
13,espiritualidade,—,—,0.05,no_match,insufficient_confidence,Empreendedorismo,0.8465,Adaptabilidade,0.8426,Negociação,0.8312,Autogestão,0.8299,Colaboração,0.8294
14,excel avançado,78,Excel Avançado,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
15,scrum,—,—,0.24,no_match,insufficient_confidence,Metodologias Ágeis,0.8222,Streaming de Dados,0.8003,Treinamento e Desenvolvimento,0.7965,Orquestração de Pipelines,0.7949,Infrastructure as Code,0.7929
16,Metodologias Ágeis,19,Metodologias Ágeis,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
17,storytelling com dados,21,Storytelling com Dados,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
18,pensamento crítico,6,Pensamento Crítico,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
19,Critical Thinking,6,Pensamento Crítico,1.0,matched,ai_rerank,Pensamento Crítico,0.8376,Design Thinking,0.8356,Pensamento Estratégico,0.8232,Machine Learning,0.8136,Mentoria,0.8132
20,versionamento de código,72,Versionamento de Código,1.0,matched,fuzzy_match,—,0.0,—,0.0,—,0.0,—,0.0,—,0.0
21,Git,—,—,0.15,no_match,insufficient_confidence,Versionamento de Código,0.8137,CI/CD,0.8004,Bash e Shell Script,0.8001,Desenvolvimento de APIs,0.7979,MLflow,0.794
