new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used
1716,análise com SQL,32,SQL,0.5,matched,ai_rerank
2419,LLM applications,83,LangChain,0.5,matched,ai_rerank
2052,análise com SQL,32,SQL,0.5,matched,ai_rerank
532,LLM applications,83,LangChain,0.5,matched,ai_rerank
702,negociar com clientes,5,Negociação,0.51,matched,ai_rerank
1498,negociar com clientes,5,Negociação,0.51,matched,ai_rerank
1593,azure functions,68,Azure,0.51,matched,ai_rerank
1092,negociar com clientes,5,Negociação,0.51,matched,ai_rerank
2340,cultura corporativa,100,Cultura Organizacional,0.52,matched,ai_rerank
678,serviços independentes,75,Microsserviços,0.52,matched,ai_rerank
2298,cultura corporativa,100,Cultura Organizacional,0.52,matched,ai_rerank
1087,técnicas de facilitação,20,Facilitação,0.53,matched,ai_rerank
258,R language,33,R,0.53,matched,ai_rerank
2785,integração de dados,39,Análise de Dados,0.53,matched,ai_rerank
1259,R language,33,R,0.53,matched,ai_rerank
1372,tableau reports,77,Tableau,0.53,matched,ai_rerank
566,integração de dados,39,Análise de Dados,0.53,matched,ai_rerank
1970,integração de dados,39,Análise de Dados,0.53,matched,ai_rerank
399,programar em python,62,FastAPI,0.54,matched,ai_rerank
2180,scrum,19,Metodologias Ágeis,0.55,matched,ai_rerank
51,redação profissional,23,Escrita Profissional,0.55,matched,ai_rerank
2457,gestão de colaboradores,13,Colaboração,0.55,matched,ai_rerank
2220,gestão de colaboradores,13,Colaboração,0.55,matched,ai_rerank
2329,mentorship,24,Mentoria,0.55,matched,ai_rerank
1345,redação profissional,23,Escrita Profissional,0.55,matched,ai_rerank
15,scrum,19,Metodologias Ágeis,0.55,matched,ai_rerank
240,scrum,19,Metodologias Ágeis,0.55,matched,ai_rerank
2418,pensar como empreendedor,30,Empreendedorismo,0.56,matched,ai_rerank
97,pensar como empreendedor,30,Empreendedorismo,0.56,matched,ai_rerank
1489,Apache Hadoop,82,Hadoop,0.57,matched,ai_rerank
2643,registro de modelos,46,Avaliação de Modelos,0.58,matched,ai_rerank
365,registro de modelos,46,Avaliação de Modelos,0.58,matched,ai_rerank
2257,dimensional modeling,55,Modelagem de Dados,0.58,matched,ai_rerank
2161,registro de modelos,46,Avaliação de Modelos,0.58,matched,ai_rerank
350,comunicar bem,23,Escrita Profissional,0.58,matched,ai_rerank
