new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used
1,gestão de pessoas,1,Gestão de Pessoas,1.0,matched,fuzzy_match
2,People Management,1,Gestão de Pessoas,1.0,matched,ai_rerank
3,SQL,32,SQL,1.0,matched,fuzzy_match
4,sql avançado,58,PostgreSQL,0.82,matched,ai_rerank
5,machine learning,40,Machine Learning,1.0,matched,fuzzy_match
6,comunicação assertiva,2,Comunicação Assertiva,1.0,matched,fuzzy_match
7,python,31,Python,1.0,matched,fuzzy_match
8,PYTHON,31,Python,1.0,matched,fuzzy_match
9,análise de dados,39,Análise de Dados,1.0,matched,fuzzy_match
10,resolução de conflitos,3,Resolução de Conflitos,1.0,matched,fuzzy_match
11,power bi,76,Power BI,1.0,matched,fuzzy_match
12,PowerBI,76,Power BI,1.0,matched,ai_rerank
13,espiritualidade,—,—,0.05,no_match,insufficient_confidence
14,excel avançado,78,Excel Avançado,1.0,matched,fuzzy_match
15,scrum,—,—,0.24,no_match,insufficient_confidence
16,Metodologias Ágeis,19,Metodologias Ágeis,1.0,matched,fuzzy_match
17,storytelling com dados,21,Storytelling com Dados,1.0,matched,fuzzy_match
18,pensamento crítico,6,Pensamento Crítico,1.0,matched,fuzzy_match
19,Critical Thinking,6,Pensamento Crítico,1.0,matched,ai_rerank
20,versionamento de código,72,Versionamento de Código,1.0,matched,fuzzy_match
21,Git,—,—,0.15,no_match,insufficient_confidence
22,cloud computing,81,Spark,0.54,matched,ai_rerank
23,AWS,66,AWS,1.0,matched,fuzzy_match
24,engenharia de dados,51,Engenharia de Dados,1.0,matched,fuzzy_match
25,ETL,52,ETL e ELT,0.99,matched,ai_rerank
26,visão de produto,14,Visão de Produto,1.0,matched,fuzzy_match
27,Product Sense,14,Visão de Produto,0.92,matched,ai_rerank
28,Alinhamento com o universo,—,—,0.01,no_match,insufficient_confidence
29,inteligência emocional,4,Inteligência Emocional,1.0,matched,fuzzy_match
30,negociação,5,Negociação,1.0,matched,fuzzy_match
31,data governance,—,—,0.12,no_match,insufficient_confidence
32,feature extraction,—,—,0.05,no_match,insufficient_confidence
33,auto-organização,11,Autogestão,0.56,matched,ai_rerank
34,excel básico,—,—,0.1,no_match,insufficient_confidence
35,SQL,32,SQL,1.0,matched,fuzzy_match
36,trabalho colaborativo,13,Colaboração,0.97,matched,ai_rerank
37,emotional regulation,—,—,0.07,no_match,insufficient_confidence
38,risk management,93,Gestão de Riscos,1.0,matched,ai_rerank
39,cash flow analysis,—,—,0.03,no_match,insufficient_confidence
40,imagens docker,—,—,0.41,no_match,insufficient_confidence
41,micro services,75,Microsserviços,1.0,matched,ai_rerank
42,orientação a dados,15,Orientação a Dados,1.0,matched,fuzzy_match
43,modelos de embedding,44,Embeddings e Busca Vetorial,0.93,matched,ai_rerank
44,statistical experimentation,50,Experimentação e Testes A/B,0.9,matched,ai_rerank
45,gestão de capital humano,—,—,0.14,no_match,insufficient_confidence
46,empathy mapping,—,—,0.02,no_match,insufficient_confidence
47,infrastructure automation,—,—,0.14,no_match,insufficient_confidence
48,versatilidade,—,—,0.14,no_match,insufficient_confidence
49,supporting growth,24,Mentoria,0.88,matched,ai_rerank
50,BDD,80,dbt,0.96,matched,ai_rerank
51,redação profissional,23,Escrita Profissional,0.95,matched,ai_rerank
52,DCF,—,—,0.08,no_match,insufficient_confidence
53,git,—,—,0.23,no_match,insufficient_confidence
54,negotiation tactics,—,—,0.34,no_match,insufficient_confidence
55,organização pessoal,1,Gestão de Pessoas,0.64,matched,ai_rerank
56,python avançado,—,—,0.29,no_match,insufficient_confidence
57,data schema,—,—,0.07,no_match,insufficient_confidence
58,gerenciamento de projetos,18,Gestão de Projetos,1.0,matched,ai_rerank
59,multivariate testing,—,—,0.11,no_match,insufficient_confidence
60,independent execution,11,Autogestão,0.78,matched,ai_rerank
61,vector databases,44,Embeddings e Busca Vetorial,0.66,matched,ai_rerank
62,people manager,1,Gestão de Pessoas,0.99,matched,ai_rerank
63,personal organization,—,—,0.43,no_match,insufficient_confidence
64,desenvolvimento de APIs,61,Desenvolvimento de APIs,1.0,matched,fuzzy_match
65,power bi,76,Power BI,1.0,matched,fuzzy_match
66,dealing with change,—,—,0.15,no_match,insufficient_confidence
67,hive,—,—,0.29,no_match,insufficient_confidence
68,continuous integration,65,CI/CD,0.92,matched,ai_rerank
69,mentalidade de dono,30,Empreendedorismo,0.73,matched,ai_rerank
70,version control,—,—,0.04,no_match,insufficient_confidence
71,spark SQL,81,Spark,0.84,matched,ai_rerank
72,balance sheet analysis,—,—,0.1,no_match,insufficient_confidence
73,object detection,—,—,0.05,no_match,insufficient_confidence
74,employee development,—,—,0.43,no_match,insufficient_confidence
75,managing group dynamics,20,Facilitação,0.52,matched,ai_rerank
76,OLAP,—,—,0.33,no_match,insufficient_confidence
77,js,—,—,0.32,no_match,insufficient_confidence
78,tech lead,25,Liderança Técnica,1.0,matched,ai_rerank
79,orquestração de workflows,—,—,0.29,no_match,insufficient_confidence
80,negociação comercial,—,—,0.36,no_match,insufficient_confidence
81,visualização de dados,—,—,0.39,no_match,insufficient_confidence
82,promover cultura,100,Cultura Organizacional,0.93,matched,ai_rerank
83,gerenciamento de times,10,Gestão do Tempo,0.97,matched,ai_rerank
84,LGPD compliance,71,Segurança de Dados,0.57,matched,ai_rerank
85,aprendizado não supervisionado,40,Machine Learning,0.99,matched,ai_rerank
86,fluxo de caixa descontado,—,—,0.01,no_match,insufficient_confidence
87,langchain,83,LangChain,1.0,matched,fuzzy_match
88,priorização,—,—,0.23,no_match,insufficient_confidence
89,validação de modelos,46,Avaliação de Modelos,1.0,matched,fuzzy_match
90,team conflict resolution,3,Resolução de Conflitos,1.0,matched,ai_rerank
91,APM,—,—,0.21,no_match,insufficient_confidence
92,mudança organizacional,28,Gestão de Mudanças,0.84,matched,ai_rerank
93,integridade de dados,—,—,0.08,no_match,insufficient_confidence
94,pipeline de ML,85,Langfuse,0.89,matched,ai_rerank
95,busca vetorial,44,Embeddings e Busca Vetorial,0.95,matched,ai_rerank
96,image processing,—,—,0.1,no_match,insufficient_confidence
97,pensar como empreendedor,30,Empreendedorismo,0.76,matched,ai_rerank
98,people leadership,1,Gestão de Pessoas,1.0,matched,ai_rerank
99,automação de workflows,—,—,0.06,no_match,insufficient_confidence
100,model monitoring,46,Avaliação de Modelos,0.96,matched,ai_rerank
101,real-time processing,54,Streaming de Dados,0.95,matched,ai_rerank
102,transformers architecture,—,—,0.05,no_match,insufficient_confidence
103,deep learning,41,Deep Learning,1.0,matched,fuzzy_match
104,transformar dados em histórias,21,Storytelling com Dados,0.63,matched,ai_rerank
105,apache spark,81,Spark,1.0,matched,ai_rerank
106,estratégia de branches,—,—,0.04,no_match,insufficient_confidence
107,SOLID principles,—,—,0.03,no_match,insufficient_confidence
108,gestão emocional,4,Inteligência Emocional,0.87,matched,ai_rerank
109,named entity recognition,—,—,0.01,no_match,insufficient_confidence
110,análise de dados avançada,—,—,0.17,no_match,insufficient_confidence
111,test-driven development,—,—,0.04,no_match,insufficient_confidence
112,seleção de candidatos,—,—,0.48,no_match,insufficient_confidence
113,sourcing de talentos,—,—,0.04,no_match,insufficient_confidence
114,hdfs,—,—,0.1,no_match,insufficient_confidence
115,busca semântica,—,—,0.44,no_match,insufficient_confidence
116,google cloud services,67,Google Cloud Platform,1.0,matched,ai_rerank
117,container,63,Docker,0.78,matched,ai_rerank
118,retrieval augmented generation,—,—,0.0,no_match,insufficient_confidence
119,fórmulas excel,—,—,0.25,no_match,insufficient_confidence
120,seleção de candidatos,—,—,0.48,no_match,insufficient_confidence
121,psql,—,—,0.27,no_match,insufficient_confidence
122,excel,78,Excel Avançado,0.51,matched,ai_rerank
123,spark streaming,54,Streaming de Dados,0.97,matched,ai_rerank
124,definir estratégia,17,Pensamento Estratégico,0.85,matched,ai_rerank
125,apache airflow,—,—,0.37,no_match,insufficient_confidence
126,risk assessment,93,Gestão de Riscos,0.89,matched,ai_rerank
127,DCF,—,—,0.08,no_match,insufficient_confidence
128,kubernetes scaling,64,Kubernetes,0.98,matched,ai_rerank
129,pull request,—,—,0.01,no_match,insufficient_confidence
130,javascript backend,35,JavaScript,1.0,matched,ai_rerank
131,text processing,42,Processamento de Linguagem Natural,0.94,matched,ai_rerank
132,estatística aplicada,49,Estatística Aplicada,1.0,matched,fuzzy_match
133,user research,88,UX Research,0.96,matched,ai_rerank
134,product discovery,88,UX Research,0.58,matched,ai_rerank
135,data workflow management,—,—,0.09,no_match,insufficient_confidence
136,named entity recognition,—,—,0.01,no_match,insufficient_confidence
137,gestão de performance,97,Gestão de Desempenho,1.0,matched,ai_rerank
138,autoconsciência emocional,—,—,0.2,no_match,insufficient_confidence
139,product strategy,87,Gestão de Produto,0.87,matched,ai_rerank
140,quantitative thinking,—,—,0.08,no_match,insufficient_confidence
