new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used,top1,score_bi_encoder_top1,top2,score_bi_encoder_top2,top3,score_bi_encoder_top3,top4,score_bi_encoder_top4,top5,score_bi_encoder_top5
2641,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank,Resolução de Problemas,0.8665,Inovação,0.8604,Design Thinking,0.8477,Visão Computacional,0.8471,Resolução de Conflitos,0.8436
1476,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank,Resolução de Problemas,0.8665,Inovação,0.8604,Design Thinking,0.8477,Visão Computacional,0.8471,Resolução de Conflitos,0.8436
802,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank,Resolução de Problemas,0.8665,Inovação,0.8604,Design Thinking,0.8477,Visão Computacional,0.8471,Resolução de Conflitos,0.8436
1753,data infrastructure,82,Hadoop,0.4,matched,ai_rerank,Infrastructure as Code,0.8482,Azure,0.8422,Data Warehouse,0.8417,Modelagem de Dados,0.8296,Hadoop,0.8287
2502,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank,Resolução de Problemas,0.8665,Inovação,0.8604,Design Thinking,0.8477,Visão Computacional,0.8471,Resolução de Conflitos,0.8436
1571,prototyping,36,TypeScript,0.4,matched,ai_rerank,Design Thinking,0.8306,Large Language Models,0.8195,TypeScript,0.8184,Experimentação e Testes A/B,0.8181,Java,0.8166
2228,backend API,34,Java,0.4,matched,ai_rerank,TypeScript,0.8661,JavaScript,0.8625,Java,0.8604,FastAPI,0.8433,Desenvolvimento de APIs,0.8285
1563,obsessão pelo cliente,16,Foco no Cliente,0.4,matched,ai_rerank,Foco no Cliente,0.8614,Visão de Produto,0.8378,Design Thinking,0.8364,Inovação,0.8345,Modelagem Financeira,0.8294
571,obsessão pelo cliente,16,Foco no Cliente,0.4,matched,ai_rerank,Foco no Cliente,0.8614,Visão de Produto,0.8378,Design Thinking,0.8364,Inovação,0.8345,Modelagem Financeira,0.8294
200,data infrastructure,82,Hadoop,0.4,matched,ai_rerank,Infrastructure as Code,0.8482,Azure,0.8422,Data Warehouse,0.8417,Modelagem de Dados,0.8296,Hadoop,0.8287
1978,data infrastructure,82,Hadoop,0.4,matched,ai_rerank,Infrastructure as Code,0.8482,Azure,0.8422,Data Warehouse,0.8417,Modelagem de Dados,0.8296,Hadoop,0.8287
