new_skill_id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status,strategy_used
2641,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank
1476,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank
802,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank
1753,data infrastructure,82,Hadoop,0.4,matched,ai_rerank
2502,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank
1571,prototyping,36,TypeScript,0.4,matched,ai_rerank
2228,backend API,34,Java,0.4,matched,ai_rerank
1563,obsessão pelo cliente,16,Foco no Cliente,0.4,matched,ai_rerank
571,obsessão pelo cliente,16,Foco no Cliente,0.4,matched,ai_rerank
200,data infrastructure,82,Hadoop,0.4,matched,ai_rerank
1978,data infrastructure,82,Hadoop,0.4,matched,ai_rerank
2067,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank
2398,soluções inovadoras,29,Inovação,0.4,matched,ai_rerank
2044,prototyping,36,TypeScript,0.4,matched,ai_rerank
1892,prototyping,36,TypeScript,0.4,matched,ai_rerank
2857,backend API,34,Java,0.4,matched,ai_rerank
723,change adoption,9,Adaptabilidade,0.41,matched,ai_rerank
1411,managing expectations,26,Gestão de Stakeholders,0.41,matched,ai_rerank
1583,imagens docker,63,Docker,0.41,matched,ai_rerank
2351,TDD,40,Machine Learning,0.41,matched,ai_rerank
2476,TDD,40,Machine Learning,0.41,matched,ai_rerank
242,statistics,49,Estatística Aplicada,0.41,matched,ai_rerank
378,creative problem solving,3,Resolução de Conflitos,0.41,matched,ai_rerank
1996,managing expectations,26,Gestão de Stakeholders,0.41,matched,ai_rerank
2883,joint work,13,Colaboração,0.41,matched,ai_rerank
1896,creative problem solving,3,Resolução de Conflitos,0.41,matched,ai_rerank
2316,classificação de imagens,48,Visão Computacional,0.41,matched,ai_rerank
2627,managing expectations,26,Gestão de Stakeholders,0.41,matched,ai_rerank
2736,TDD,40,Machine Learning,0.41,matched,ai_rerank
155,change adoption,9,Adaptabilidade,0.41,matched,ai_rerank
1441,statistics,49,Estatística Aplicada,0.41,matched,ai_rerank
1427,TDD,40,Machine Learning,0.41,matched,ai_rerank
3022,data compliance,57,Qualidade de Dados,0.41,matched,ai_rerank
2301,scala spark,81,Spark,0.41,matched,ai_rerank
40,imagens docker,63,Docker,0.41,matched,ai_rerank
1894,RAG,81,Spark,0.42,matched,ai_rerank
2128,advanced python,31,Python,0.42,matched,ai_rerank
211,managing resistance to change,28,Gestão de Mudanças,0.42,matched,ai_rerank
1050,RAG,81,Spark,0.42,matched,ai_rerank
2804,managing resistance to change,28,Gestão de Mudanças,0.42,matched,ai_rerank
2559,RAG,81,Spark,0.42,matched,ai_rerank
1863,EDA,25,Liderança Técnica,0.42,matched,ai_rerank
546,dagster,79,Looker,0.42,matched,ai_rerank
2973,LSTM,40,Machine Learning,0.42,matched,ai_rerank
2367,ML,84,MLflow,0.42,matched,ai_rerank
256,advanced python,31,Python,0.42,matched,ai_rerank
2391,EDA,25,Liderança Técnica,0.42,matched,ai_rerank
2057,LSTM,40,Machine Learning,0.42,matched,ai_rerank
2248,ML,84,MLflow,0.42,matched,ai_rerank
579,good writing,23,Escrita Profissional,0.43,matched,ai_rerank
2162,employee development,99,Employer Branding,0.43,matched,ai_rerank
2480,desenvolvimento de pessoas,24,Mentoria,0.43,matched,ai_rerank
573,limpeza de dados,39,Análise de Dados,0.43,matched,ai_rerank
1683,personal organization,1,Gestão de Pessoas,0.43,matched,ai_rerank
2970,bargaining,5,Negociação,0.43,matched,ai_rerank
2021,bargaining,5,Negociação,0.43,matched,ai_rerank
549,UX insights,88,UX Research,0.43,matched,ai_rerank
2492,analytical problem solving,7,Resolução de Problemas,0.43,matched,ai_rerank
748,good writing,23,Escrita Profissional,0.43,matched,ai_rerank
771,desenvolvimento de pessoas,24,Mentoria,0.43,matched,ai_rerank
2614,UX insights,88,UX Research,0.43,matched,ai_rerank
1204,reputação como empregador,99,Employer Branding,0.43,matched,ai_rerank
2266,bargaining,5,Negociação,0.43,matched,ai_rerank
1255,advanced data analysis,39,Análise de Dados,0.43,matched,ai_rerank
